disease_canonical,fever_prevalence,cough_prevalence,fatigue_prevalence,difficulty_breathing_prevalence,avg_age,most_common_gender,outcome_positive_rate,patient_count,symptoms,symptom_list,cures,doctor,risk_category,risk_pct,source,symptom_source,has_patient_stats,has_clinical_detail,fever_prevalence_imputed,cough_prevalence_imputed,fatigue_prevalence_imputed,difficulty_breathing_prevalence_imputed,avg_age_imputed,outcome_positive_rate_imputed,symptom_set
hepatitis b,0.0,1.0,1.0,0.0,60.0,male,1.0,1.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
herpes,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"sexually transmitted infection that can cause blisters on the genitals,mouth,other parts of the body","['sexually transmitted infection that can cause blisters on the genitals', 'mouth', 'other parts of the body']","there is no cure for herpes,but there are treatments that can help manage the symptoms","urologist,gynecologist",high,70.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'other parts of the body', 'sexually transmitted infection that can cause blisters on the genitals', 'mouth']"
hivaids,1.0,0.0,0.0,0.0,55.0,female,0.0,1.0,fever,['fever'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fever']
hyperglycemia,0.0,0.0,1.0,0.0,45.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
hypertension,0.5,0.4,0.5,0.0,52.0,female,0.5,10.0,"fever,fatigue","['fever', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever']"
hypertensive heart,0.0,0.0,1.0,0.0,30.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
hyperthyroidism,0.4,0.6,0.8,0.0,39.6,male,0.4,5.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
hypoglycemia,0.0,0.0,1.0,0.0,40.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
hypothyroidism,0.4,0.4,1.0,0.0,48.0,female,0.6,5.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
influenza,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,34.285714285714285,female,0.7142857142857143,7.0,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue","['fever', 'cough', 'sore throat', 'runny or stuffy nose', 'muscle aches', 'headache', 'fatigue']","over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,both,df2_text,True,True,False,False,False,False,False,False,"['muscle aches', 'sore throat', 'fatigue', 'cough', 'fever', 'runny or stuffy nose', 'difficulty breathing', 'headache']"
irritable bowel syndrome,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"abdominal pain,bloating,constipation,diarrhea","['abdominal pain', 'bloating', 'constipation', 'diarrhea']","treatment for ibs may include diet,lifestyle changes,medication","family doctor,gastroenterologist",varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['bloating', 'fatigue', 'constipation', 'abdominal pain', 'diarrhea']"
kidney,0.6,0.6,0.6,0.4,47.0,female,0.4,5.0,damage to the kidneys that can lead to kidney failure,['damage to the kidneys that can lead to kidney failure'],"treatment for the underlying cause,such as high blood pressure,diabetes,an infection",nephrologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['damage to the kidneys that can lead to kidney failure', 'fatigue', 'cough', 'fever']"
kidney cancer,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,43.666666666666664,male,0.3333333333333333,6.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
kidney stones,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain in the lower back or side,nausea,vomiting,blood in the urine","['pain in the lower back or side', 'nausea', 'vomiting', 'blood in the urine']",surgery,urologist,high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'fatigue', 'pain in the lower back or side', 'nausea', 'blood in the urine']"
klinefelter syndrome,0.0,0.0,1.0,0.0,44.5,female,1.0,2.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
liver,0.4,0.6,0.6,0.4,43.0,male,0.4,5.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
liver cancer,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5,43.166666666666664,female,0.6666666666666666,6.0,"fever,cough,fatigue,difficulty breathing","['fever', 'cough', 'fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever', 'difficulty breathing']"
lung,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"condition that affects the lungs,can make it difficult to breathe","['condition that affects the lungs', 'can make it difficult to breathe']","treatment for the underlying cause,such as asthma,chronic obstructive pulmonary disease (copd),pneumonia",pulmonologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'can make it difficult to breathe', 'condition that affects the lungs']"
lung cancer,1.0,0.3333333333333333,1.0,0.3333333333333333,57.333333333333336,female,0.6666666666666666,3.0,"cough that does not go away,shortness of breath,chest pain,unexplained weight loss,fatigue,blood in the sputum","['cough that does not go away', 'shortness of breath', 'chest pain', 'unexplained weight loss', 'fatigue', 'blood in the sputum']","surgery,chemotherapy,radiation therapy",oncologist,high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['blood in the sputum', 'shortness of breath', 'fatigue', 'unexplained weight loss', 'fever', 'cough that does not go away', 'chest pain']"
lyme,1.0,0.0,0.0,0.0,50.0,male,1.0,1.0,fever,['fever'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fever']
lymphoma,0.0,1.0,0.0,0.0,40.0,female,1.0,1.0,cough,['cough'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['cough']
malaria,1.0,0.0,0.0,0.0,35.0,male,1.0,1.0,"fever,chills,sweating,headache,muscle aches,fatigue,vomiting,diarrhea","['fever', 'chills', 'sweating', 'headache', 'muscle aches', 'fatigue', 'vomiting', 'diarrhea']",antimalarial drugs,"family doctor,urgent care",high,20.0,both,df2_text,True,True,False,False,False,False,False,False,"['muscle aches', 'vomiting', 'fatigue', 'chills', 'fever', 'diarrhea', 'sweating', 'headache']"
marfan syndrome,0.0,0.0,1.0,0.0,55.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
measles,1.0,1.0,0.0,0.0,60.0,female,0.0,1.0,"fever,cough,runny nose,red eyes,sore throat,rash","['fever', 'cough', 'runny nose', 'red eyes', 'sore throat', 'rash']",measles vaccine,"family doctor,urgent care",high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['rash', 'sore throat', 'cough', 'fever', 'runny nose', 'red eyes']"
melanoma,1.0,0.0,1.0,0.0,45.0,male,0.0,1.0,"fever,fatigue","['fever', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever']"
meningitis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light","['fever', 'headache', 'stiff neck', 'nausea', 'vomiting', 'sensitivity to light']",antibiotics,"neurologist,neurosurgeon",high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['stiff neck', 'vomiting', 'sensitivity to light', 'fatigue', 'nausea', 'fever', 'headache']"
migraine,0.5,0.5,0.5,0.1,41.1,female,0.5,10.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
mononucleosis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"fever,sore throat,fatigue,swollen lymph nodes,rash","['fever', 'sore throat', 'fatigue', 'swollen lymph nodes', 'rash']","there is no cure for mononucleosis,but symptoms can be treated with rest,fluids,over-the-counter medications","family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['rash', 'sore throat', 'fatigue', 'swollen lymph nodes', 'fever']"
multiple sclerosis,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,42.333333333333336,female,0.6666666666666666,3.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
mumps,0.0,0.0,1.0,0.0,65.0,male,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
muscular dystrophy,0.0,0.0,1.0,0.0,30.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
myocardial infarction heart,1.0,1.0,1.0,1.0,30.0,female,1.0,1.0,"chest pain,shortness of breath,nausea,vomiting,lightheadedness,sweating","['chest pain', 'shortness of breath', 'nausea', 'vomiting', 'lightheadedness', 'sweating']",emergency medical services,cardiologist,high,20.0,both,df2_text,True,True,False,False,False,False,False,False,"['shortness of breath', 'lightheadedness', 'vomiting', 'fatigue', 'nausea', 'fever', 'cough', 'chest pain', 'sweating', 'difficulty breathing']"
obsessivecompulsive disorde,0.0,0.0,1.0,0.0,35.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
osteoarthritis,0.5,0.5,0.6666666666666666,0.3333333333333333,46.666666666666664,male,0.5,6.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
osteomyelitis,0.0,0.0,1.0,0.0,60.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
osteoporosis,0.5,0.4166666666666667,0.5833333333333334,0.16666666666666666,54.083333333333336,male,0.5,12.0,"fever,fatigue","['fever', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever']"
otitis media,1.0,1.0,1.0,0.0,65.0,male,0.0,1.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
ovarian cancer,0.0,0.0,1.0,0.0,45.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
pancreatic cancer,0.0,0.0,1.0,0.0,50.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
pancreatitis,0.4,0.6,0.6,0.2,43.8,male,0.4,5.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
parkinsons,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,61.666666666666664,male,0.3333333333333333,3.0,"tremors,slow movement,stiffness,difficulty with balance,coordination","['tremors', 'slow movement', 'stiffness', 'difficulty with balance', 'coordination']","medication,lifestyle changes",neurologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['difficulty with balance', 'tremors', 'slow movement', 'fatigue', 'stiffness', 'coordination']"
peptic ulcer,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain in the upper abdomen,indigestion,nausea,vomiting","['pain in the upper abdomen', 'indigestion', 'nausea', 'vomiting']","medication,lifestyle changes,surgery",gastroenterologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'fatigue', 'nausea', 'pain in the upper abdomen', 'indigestion']"
peripheral artery,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain,numbness,tingling in the arms or legs","['pain', 'numbness', 'tingling in the arms or legs']","medication,lifestyle changes,surgery",vascular surgeon,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'tingling in the arms or legs', 'pain', 'numbness']"
pneumocystis pneumonia,1.0,1.0,1.0,0.0,45.0,female,1.0,1.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
pneumonia,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,41.42857142857143,female,0.7142857142857143,7.0,"fever,cough,shortness of breath,chest pain,fatigue","['fever', 'cough', 'shortness of breath', 'chest pain', 'fatigue']","antibiotics,over-the-counter medications,rest,fluids","family doctor,pulmonologist",moderate,1.0,both,df2_text,True,True,False,False,False,False,False,False,"['shortness of breath', 'fatigue', 'cough', 'fever', 'chest pain', 'difficulty breathing']"
pneumothorax,0.0,0.0,1.0,1.0,50.0,female,1.0,1.0,"fatigue,difficulty breathing","['fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'difficulty breathing']"
polio,1.0,1.0,1.0,0.0,60.0,male,0.0,1.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
polycystic ovary syndrome,1.0,1.0,0.0,0.0,55.0,female,1.0,1.0,"fever,cough","['fever', 'cough']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['cough', 'fever']"
praderwilli syndrome,0.0,0.0,1.0,0.0,60.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
prostate cancer,1.0,1.0,0.0,0.0,70.0,male,0.0,1.0,"difficulty urinating,blood in the urine,pain in the back or hips,erectile dysfunction","['difficulty urinating', 'blood in the urine', 'pain in the back or hips', 'erectile dysfunction']","surgery,radiation therapy,hormone therapy",urologist,high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['erectile dysfunction', 'difficulty urinating', 'pain in the back or hips', 'fever', 'cough', 'blood in the urine']"
psoriasis,0.4,0.6,0.4,0.0,38.0,female,0.6,5.0,cough,['cough'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['cough']
rabies,1.0,1.0,0.0,0.0,40.0,female,0.0,1.0,"fever,headache,muscle aches,tingling at the bite site,difficulty swallowing,hydrophobia,aerophobia","['fever', 'headache', 'muscle aches', 'tingling at the bite site', 'difficulty swallowing', 'hydrophobia', 'aerophobia']",rabies vaccine,"doctor,urgent care",high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['muscle aches', 'difficulty swallowing', 'hydrophobia', 'tingling at the bite site', 'fever', 'aerophobia', 'cough', 'headache']"
rheumatoid arthritis,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,42.333333333333336,female,0.5,6.0,"pain,swelling,stiffness in the joints","['pain', 'swelling', 'stiffness in the joints']","medication,lifestyle changes",rheumatologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['pain', 'swelling', 'fatigue', 'stiffness in the joints', 'cough']"
rubella,1.0,0.0,1.0,0.0,35.0,female,0.0,1.0,"fever,fatigue","['fever', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever']"
salmonella,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"fever,diarrhea,abdominal cramps,nausea,vomiting","['fever', 'diarrhea', 'abdominal cramps', 'nausea', 'vomiting']",antibiotics,"family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'fatigue', 'abdominal cramps', 'nausea', 'fever', 'diarrhea']"
schizophrenia,0.0,1.0,1.0,0.0,70.0,male,0.0,1.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
sepsis,1.0,1.0,1.0,0.0,50.0,male,0.0,1.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
shingles,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,painful rash that follows nerve path,['painful rash that follows nerve path'],antiviral medication,"family doctor,dermatologist",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'painful rash that follows nerve path']"
sickle cell anemia,0.0,0.0,1.0,0.0,45.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
sinusitis,0.0,1.0,1.0,0.0,30.0,male,0.0,1.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
sleep apnea,1.0,0.0,1.0,1.0,50.0,male,0.0,1.0,"fever,fatigue,difficulty breathing","['fever', 'fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever', 'difficulty breathing']"
spina bifida,0.0,0.0,1.0,0.0,35.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
stomach cancer,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain in the upper abdomen,indigestion,nausea,vomiting,weight loss","['pain in the upper abdomen', 'indigestion', 'nausea', 'vomiting', 'weight loss']","surgery,chemotherapy,radiation therapy",gastroenterologist,high,70.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'weight loss', 'fatigue', 'nausea', 'pain in the upper abdomen', 'indigestion']"
stroke,0.7272727272727273,0.45454545454545453,0.8181818181818182,0.18181818181818182,59.90909090909091,female,0.6363636363636364,11.0,"sudden weakness,numbness on one side of the body,confusion,difficulty speaking,trouble seeing in one eye,severe headache","['sudden weakness', 'numbness on one side of the body', 'confusion', 'difficulty speaking', 'trouble seeing in one eye', 'severe headache']",emergency medical services,neurologist,high,15.0,both,df2_text,True,True,False,False,False,False,False,False,"['numbness on one side of the body', 'trouble seeing in one eye', 'difficulty speaking', 'confusion', 'sudden weakness', 'fatigue', 'fever', 'severe headache']"
systemic lupus erythematosus,0.0,1.0,1.0,0.0,55.0,female,1.0,1.0,chronic autoimmune disease that can affect any part of the body,['chronic autoimmune disease that can affect any part of the body'],"medication,lifestyle changes",rheumatologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'cough', 'chronic autoimmune disease that can affect any part of the body']"
testicular cancer,0.0,0.0,1.0,0.0,70.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
tetanus,0.0,0.0,1.0,0.0,45.0,male,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
thyroid cancer,0.0,0.0,1.0,0.0,60.0,female,1.0,1.0,"lump in the neck,hoarseness,fatigue,weight loss,unexplained heat intolerance,sensitivity to cold","['lump in the neck', 'hoarseness', 'fatigue', 'weight loss', 'unexplained heat intolerance', 'sensitivity to cold']","surgery,radiation therapy,hormone therapy",endocrinologist,high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['unexplained heat intolerance', 'weight loss', 'lump in the neck', 'fatigue', 'sensitivity to cold', 'hoarseness']"
tonsillitis,1.0,1.0,1.0,0.0,70.0,female,1.0,1.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
tourette syndrome,0.0,0.0,1.0,0.0,65.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
tuberculosis,1.0,1.0,1.0,0.5,50.0,female,1.0,2.0,"cough that does not go away,fever,night sweats,weight loss,fatigue,chest pain","['cough that does not go away', 'fever', 'night sweats', 'weight loss', 'fatigue', 'chest pain']",antibiotics,"family doctor,pulmonologist",high,20.0,both,df2_text,True,True,False,False,False,False,False,False,"['weight loss', 'fatigue', 'cough', 'fever', 'cough that does not go away', 'chest pain', 'difficulty breathing', 'night sweats']"
turner syndrome,0.0,0.0,1.0,0.0,45.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
typhoid fever,0.0,1.0,0.0,0.0,55.0,male,1.0,1.0,cough,['cough'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['cough']
ulcerative colitis,0.4,0.6,0.6,0.0,36.0,female,0.6,5.0,"diarrhea,bloody stool,abdominal pain,weight loss","['diarrhea', 'bloody stool', 'abdominal pain', 'weight loss']","medication,surgery",gastroenterologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['weight loss', 'fatigue', 'cough', 'abdominal pain', 'bloody stool', 'diarrhea']"
urinary tract infection,0.625,0.5,0.625,0.25,41.375,female,0.375,8.0,"painful urination,burning,frequent urination,urgency to urinate,blood in the urine","['painful urination', 'burning', 'frequent urination', 'urgency to urinate', 'blood in the urine']",antibiotics,urologist,low,0.1,both,df2_text,True,True,False,False,False,False,False,False,"['urgency to urinate', 'fatigue', 'cough', 'fever', 'frequent urination', 'blood in the urine', 'painful urination', 'burning']"
varicose veins,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"swollen,twisted veins,usually in the legs","['swollen', 'twisted veins', 'usually in the legs']","surgery,compression stockings,lifestyle changes",vascular surgeon,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'twisted veins', 'swollen', 'usually in the legs']"
warts,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"raised,rough growths on the skin","['raised', 'rough growths on the skin']","over-the-counter medications,prescription medications,cryotherapy,laser therapy",dermatologist,low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'rough growths on the skin', 'raised']"
williams syndrome,0.0,0.0,1.0,0.0,70.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
yeast infection,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"itching,burning,discharge from the vaginor penis","['itching', 'burning', 'discharge from the vaginor penis']","over-the-counter medications,prescription medications","urologist,gynecologist",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'discharge from the vaginor penis', 'burning', 'itching']"
zika virus,0.0,1.0,1.0,0.0,45.0,female,0.0,1.0,"cough,fatigue","['cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough']"
